avg_sunshine,avg_rain,nitrogen,potash,phosphate,production
843,61.33333333,33949,5981,14209,275.25
643,45.16666667,37649,6950,13382,281.55
874,62.91666667,54259,13150,23712,357.44
592,44.16666667,45007,13913,19008,232.69
923.7,53.16666667,76128,18798,42979,514.92
600.8,28.95,56053,7129,25019,406.96
843,51.58333333,56321,3173,18245,372.6
1068.1,59.96666667,71554,3186,14597,624.49
512.1,34.00833333,55797,3043,12098,363.08
509,39.00833333,73585,4143,21154,239.78
887,56.08333333,52838,8609,32495,320.54
559,42,40678,5782,28634,267.98
780,58.91666667,51049,12701,27922,425.03
573,41.25,51253,16247,35894,421.21
723,57.33333333,64325,14447,38889,401.11
755.1,41.31666667,77259,17739,48593,545.77
494.4,28.35833333,75158,10208,51401,396.56
632.7,39.91666667,68611,6638,31468,380.5
910.8,64.01666667,92095,9562,43289,478.7
601.1,41.11666667,83514,7619,33352,418.1
471.9,36.55833333,94562,10915,44140,215.02
919,55.91666667,96348,14927,51249,938.67
630,48.33333333,97018,10220,47496,805.9
741,55.91666667,102133,21068,50596,989.84
793,57.08333333,113748,27707,59260,1150.31
476,37.08333333,109632,27524,64010,918.97
841.9,51.48333333,141668,22918,74875,1323.71
496.1,25.94166667,127932,14240,69334,963.8
673.9,44.16666667,103033,10034,40511,683.87
1146.3,80.725,151903,9564,48305,1205.29
543.2,38.16666667,112831,12004,36930,1041.36
637.5,48.23333333,123383,13530,49485,620.45
1135,65.25,89905,15265,28205,646.18
1095,80.33333333,90725,11652,29609,589.39
962,67.58333333,94531,19400,25970,559.56
1196,82.83333333,99112,29103,37543,689.97
591,41.41666667,75778,21870,26936,316.33
1277.9,67.73333333,126371,25698,42748,860.41
736.3,35.18333333,113498,14489,48686,573.94
1231.9,74.70833333,121033,11411,34155,689.02
1366.5,73.625,138629,5777,28668,800.52
739.7,47.3,108636,9723,27802,437.44
980.1,73.13333333,123492,17173,41549,572.94
1437,91.33333333,66445,7872,25659,530.96
1202,88.25,62173,9124,29018,448.12
1144,78.16666667,70236,15981,30369,548.2
1444,96.41666667,69754,22903,35600,595.61
700,46.25,64941,17728,29200,306.5
1662.6,97.74166667,90586,21131,38922,704.07
868.4,48.35833333,75560,9607,37116,411.69
1521.1,95.71666667,71679,6455,21557,473.08
1503.2,83.275,80321,7051,24863,575.28
819.6,49.19166667,76753,9521,23883,456.18
997.1,74.90833333,83892,14159,39340,369.34
995,58.25,112368,14330,35366,912.31
1167,86.66666667,114196,15452,37611,1069.56
832,60.66666667,113562,18325,33786,985.5
850,55.16666667,139809,32108,48262,1176
670,45.25,106270,20576,31887,513.39
1195.2,70.51666667,146930,29102,50070,1351.86
658,32.875,151609,15018,57493,1120.05
1046.5,56.875,127237,9546,34110,1026.88
1427.7,77.50833333,160012,12221,36356,1500.84
733.1,46.98333333,122579,12165,34966,990.96
811,59.9,152629,17002,42469,553.96
1248,60.66666667,30432,3883,12909,200.78
1214,80.33333333,34755,5180,16658,177.87
874,58.5,42482,8271,14591,123.72
941,60.08333333,56934,19231,23168,198.38
651,40.33333333,58762,11618,26104,98.5
1376.9,80.99166667,69297,15283,31716,255.15
908.9,52.89166667,79472,9020,46963,199.33
1048.8,59.71666667,67090,7217,24384,187.27
1607.7,84.44166667,78262,1668,23308,248.91
861.4,58.36666667,65363,1870,15789,126.13
963.1,67.8,98612,7820,32923,151.6
601.5,44.43333333,36248,8526,16626,22.85
834.9,62.93333333,41588,8279,22777,21.56
900.4,67.95,39399,9371,21503,18.35
1088.5,85.41666667,36247,7300,16783,14.64
1199,89.91666667,31307,12074,18244,59.75
594,47.25,28971,9336,16685,19.55
840,60.61666667,30013,13022,13535,25.96
632,54.08333333,34088,13314,22585,31.29
570.5,46.04166667,36554,15511,28932,21.33
806,56.58333333,37811,15662,32910,48.94
643,45.33333333,39119,10168,28439,27.11
717.8,49.00833333,33345,7326,19343,17.76
663.8,50.625,33893,6861,18071,9.49
518,38.30833333,27918,7761,15097,2.8
1083.8,86.06666667,33395,7053,17989,4.23
1027,71.5,22329,7075,11814,105.83
578,44.33333333,17560,5040,10332,74.8
830.5,61.50833333,21476,5368,9334,85.4
597,50.16666667,23923,9884,14783,107.01
724.5,56.8,29535,10457,22672,92.96
841,60.25,27684,8175,18593,98.43
549,40.41666667,32072,5709,23002,79.64
559.9,43.275,24537,3583,8362,37.72
654.2,51.03333333,24328,3964,12390,38.49
703.8,54.65,22880,5407,11779,26.93
939.3,75.40833333,27237,5961,13053,29.25
1182,86.33333333,37864,22215,20116,409.18
749,57.33333333,39934,22110,20017,363.55
823.7,59,37009,21832,18178,421.44
474,40.5,46232,30811,31295,421.28
727.6,46.36666667,48762,34106,30191,427.64
873,65.33333333,50212,29584,31487,441.19
782,59,51234,25622,37165,431.65
526.5,40.64166667,44161,18708,16560,325.11
730,49.975,46074,21139,20388,407.47
880.1,63.175,48694,20443,22781,395
981.2,79.21666667,52763,24028,25358,366.09
1202,90.08333333,43128,17393,16692,256.75
529,42.91666667,46744,15733,16826,209.67
709.4,55.48333333,51238,14789,14502,278.04
492,43.16666667,53403,26540,25935,285.55
604.7,46.975,57092,26867,23342,263.41
864,64.08333333,61863,21843,30942,277.06
664,52.08333333,63818,17940,30827,251.64
514,40.70833333,50020,10603,13403,155.66
609.3,48.04166667,54233,9644,14117,229.15
787,61.25,53787,17258,17248,245.46
851.1,69.71666667,53553,11422,17093,214.38
1560,95.75,32196,19946,19296,119.46
1146,74.66666667,32173,15497,19685,126.5
1214.5,84.04166667,36164,19143,19180,128.65
1325,92,33822,23041,20146,131.49
1050.2,61.31666667,35276,26286,23069,127.89
1676,113.75,35723,22081,25271,149.23
1516,103.9166667,44562,19266,35649,120.86
658.4,48.11666667,32041,13442,14451,107.78
995.8,62.74166667,34012,14675,17781,158.59
1049.9,69.11666667,37861,18097,20048,146.29
997.7,80.00833333,38684,17575,23535,117.08
2113,118.5833333,28156,16046,16669,333.12
1847,103.4166667,30281,13666,18846,314.72
2373.4,142.2833333,28247,13631,13794,323.86
2422,160.4166667,31523,17580,19893,320.8
2418.8,91.275,35506,19773,27136,319.81
2754,160,39171,18804,25692,366.59
2869,172.3333333,44119,12416,30709,376.58
1913,120.575,33134,10678,14244,328.9
2756.4,126.4166667,31152,9542,15482,380.81
2977.9,156.025,31992,11877,15018,370.01
1590.4,108.025,30424,11478,19692,286.76
2332,128.6666667,20895,18617,13439,107.86
2067,120.75,21640,16798,14153,112.24
2638.6,158.6416667,22519,15630,12693,110.99
1684,112.4166667,25069,20174,14498,108.26
2105.2,92.75833333,28970,25746,17958,108.17
1998,126.9166667,28664,20613,20846,115.48
1772,113,32332,18662,22503,116.76
1609.2,107.925,22944,15564,12239,87.47
2201.1,107.1416667,25625,16667,13679,112.1
2131.1,114.9916667,32013,25302,16693,105.3
1692,116.7416667,35227,22814,21511,88.32
902,59.16666667,61595,16856,36831,483.86
541,41.16666667,58673,15380,36827,448.38
700,52.39166667,49504,15242,26545,287.75
474,43.66666667,57849,22127,43387,465.22
757.1,58.48333333,69878,20746,51259,491.44
891,65.5,76814,27091,54844,532.01
363,27.5,91090,17200,66150,516.96
575.6,44.575,61000,11660,24737,395.38
583.8,42.15833333,77011,12441,40853,456.33
856.3,63.28333333,78151,16729,43038,504.16
690.2,53.975,81044,16279,48506,371.56
723,45.41666667,70685,24901,40211,329.39
757,59.33333333,63266,19727,36444,348.07
650.4,48.25833333,72188,24892,34909,416.63
362,32.41666667,77246,26642,47029,441.87
834.4,66.625,93423,33240,54995,380.92
672,51.25,88074,26674,54774,462.98
